cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
1,1,42.8,42.8,1.0,0.2312
1,2,146.616,169.7,398.0,304.7299
1,3,157.84,169.7,10.0,7.7435
1,4,167.65,168.5,2.0,1.7201
1,5,174.983,176.6,535.0,487.5117
1,6,211.212,434.3,342.0,374.8804
1,7,167.0,167.0,1.0,0.8445
2,1,135.5,135.5,1.0,0.7379
2,2,152.673,173.1,397.0,316.4724
2,3,155.664,162.9,11.0,8.395
2,4,168.8,168.8,1.0,0.8976
2,5,171.976,173.8,536.0,480.2934
2,6,213.064,504.8,1345.0,1488.2919
2,7,165.6,165.6,1.0,0.8407
3,1,133.8,133.8,1.0,0.7265
3,2,151.55,174.1,398.0,314.3745
3,3,154.264,165.5,10.0,8.3453
3,4,164.5,164.5,1.0,0.8601
3,5,170.992,172.6,536.0,476.8551
3,6,209.82,518.8,359.0,391.2626
3,7,164.2,164.2,1.0,0.8438
4,1,132.4,132.4,1.0,0.7148
4,2,151.484,177.0,398.0,314.4083
4,3,154.682,166.1,10.0,8.3827
4,4,162.2,162.2,1.0,0.8479
4,5,170.774,172.5,536.0,476.2303
4,6,218.946,548.2,376.0,427.1812
4,7,164.2,164.2,1.0,0.8346
5,1,133.9,133.9,1.0,0.725
5,2,151.325,176.6,398.0,313.8288
5,3,154.08,166.2,10.0,7.5542
5,4,162.1,162.3,1.0,1.664
5,5,170.664,172.3,536.0,475.7834
5,6,210.683,520.8,359.0,393.2385
5,7,164.8,164.8,1.0,0.8388
6,1,132.6,132.6,1.0,0.7228
6,2,151.322,174.4,398.0,313.8589
6,3,154.44,166.9,10.0,7.5783
6,4,165.6,165.6,2.0,1.7189
6,5,170.623,172.1,535.0,475.7516
6,6,203.938,537.8,1345.0,1425.3452
6,7,163.9,163.9,1.0,0.8331
7,1,133.2,133.2,1.0,0.7114
7,2,151.291,174.8,398.0,313.9577
7,3,153.09,162.7,9.0,7.5114
7,4,162.7,162.7,1.0,0.8535
7,5,170.632,172.4,537.0,476.6351
7,6,203.754,475.8,1353.0,1432.9199
7,7,164.45,164.7,2.0,1.6636
8,1,134.0,134.0,1.0,0.7282
8,2,151.317,175.4,398.0,313.8992
8,3,152.99,164.3,9.0,7.5616
8,4,167.05,169.1,2.0,1.7122
8,5,170.66,172.5,536.0,475.9042
8,6,204.669,491.9,1355.0,1440.76
8,7,164.5,164.5,1.0,0.8372
9,1,133.3,133.3,1.0,0.7056
9,2,151.304,175.4,398.0,313.3176
9,3,154.227,164.4,10.0,8.3373
9,4,165.1,165.1,1.0,0.8626
9,5,170.67,172.3,536.0,475.9934
9,6,216.437,525.6,365.0,410.3019
9,7,165.9,165.9,1.0,0.8534
10,1,134.1,134.1,1.0,0.7262
10,2,151.429,175.1,398.0,314.1976
10,3,152.45,153.8,9.0,7.5388
10,4,162.2,162.2,2.0,1.6641
10,5,170.736,172.6,536.0,476.122
10,6,207.436,549.9,345.0,372.0736
10,7,164.5,164.5,1.0,0.837
11,1,133.2,133.2,1.0,0.7121
11,2,151.301,173.3,397.0,313.0471
11,3,153.673,165.3,10.0,8.3254
11,4,166.1,166.1,1.0,0.8789
11,5,170.694,172.3,536.0,476.0654
11,6,212.656,542.7,369.0,407.6958
11,7,164.1,164.1,1.0,0.8341
12,1,135.3,135.3,1.0,0.7163
12,2,151.418,174.1,397.0,313.4593
12,3,154.66,166.5,10.0,7.6495
12,4,166.4,166.4,2.0,1.7055
12,5,170.745,172.2,535.0,476.1408
12,6,205.381,539.1,378.0,402.7638
12,7,165.0,165.0,1.0,0.837
13,1,133.8,133.8,1.0,0.716
13,2,151.514,176.7,398.0,314.2878
13,3,153.4,161.8,9.0,7.5672
13,4,165.6,165.6,1.0,0.878
13,5,170.779,172.3,536.0,476.3408
13,6,204.016,552.4,327.0,345.8311
13,7,163.6,163.6,0.0,0.8316
14,1,134.2,134.2,1.0,0.7112
14,2,151.475,173.7,397.0,313.4814
14,3,154.227,163.6,11.0,8.3438
14,4,169.6,169.6,1.0,0.8859
14,5,170.75,172.6,535.0,476.2604
14,6,205.164,539.3,347.0,369.1218
14,7,164.2,164.2,1.0,0.8355
15,1,133.2,133.2,1.0,0.724
15,2,151.48,173.8,398.0,314.297
15,3,154.58,166.3,10.0,7.6398
15,4,166.3,166.3,1.0,0.8722
15,5,170.838,172.7,536.0,476.5503
15,6,214.73,539.1,374.0,417.8432
15,7,164.8,164.8,1.0,0.836
16,1,135.5,135.5,1.0,0.7209
16,2,151.455,175.8,398.0,313.6046
16,3,154.173,163.9,10.0,8.3364
16,4,166.4,166.4,1.0,0.8822
16,5,170.771,172.3,536.0,476.4559
16,6,205.683,529.3,344.0,368.0387
16,7,164.8,164.8,1.0,0.836
17,1,132.6,132.6,1.0,0.7096
17,2,151.46,174.7,398.0,313.6084
17,3,154.264,164.5,10.0,8.3542
17,4,169.0,169.0,1.0,0.8846
17,5,170.834,172.9,536.0,476.6585
17,6,207.432,541.5,345.0,372.3893
17,7,164.0,164.0,1.0,0.8319
18,1,134.1,134.1,1.0,0.7288
18,2,151.437,173.8,398.0,314.2695
18,3,153.29,162.2,9.0,7.551
18,4,162.2,162.2,1.0,0.8498
18,5,170.778,172.5,536.0,476.4984
18,6,203.184,546.9,346.0,364.4914
18,7,164.7,164.7,1.0,0.8363
19,1,133.9,133.9,1.0,0.7312
19,2,151.592,171.5,398.0,314.71
19,3,153.78,161.8,10.0,7.5485
19,4,164.7,167.6,2.0,1.6913
19,5,170.809,173.0,535.0,475.6104
19,6,207.945,539.3,344.0,372.2646
19,7,163.7,163.7,1.0,0.8321
20,1,133.8,133.8,1.0,0.7209
20,2,151.474,174.2,397.0,313.6487
20,3,155.0,164.3,11.0,8.4256
20,4,169.8,169.8,1.0,0.9002
20,5,170.844,172.9,535.0,476.5869
20,6,226.868,542.5,346.0,406.902
20,7,164.7,164.7,1.0,0.8374
21,1,133.4,133.4,1.0,0.7292
21,2,151.484,173.5,399.0,314.3032
