cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
2,1,155.786,165.000,3.0,44.8502
2,2,156.753,162.500,107.0,262.6141
2,3,146.089,146.700,4.0,6.5479
2,4,207.760,244.300,5084.0,17798.4023
2,5,156.383,158.300,110.0,89.6675
2,6,155.650,156.000,4.0,3.1208
3,1,155.253,164.300,50.0,40.1463
3,2,156.911,163.300,115.0,93.7473
3,3,150.367,158.900,3.0,2.2531
3,4,233.137,244.000,5085.0,6140.0313
3,5,156.525,158.500,109.0,88.9847
3,6,155.500,156.000,4.0,3.0591
4,1,155.650,156.200,2.0,1.5892
4,2,156.841,163.800,108.0,88.4028
4,3,146.250,146.300,2.0,1.4586
4,4,233.155,244.100,5086.0,6140.2373
4,5,156.638,163.000,110.0,89.7692
4,6,155.925,156.300,4.0,3.0651
5,1,155.442,165.000,50.0,40.1037
5,2,157.066,161.600,113.0,92.3666
5,3,146.333,146.500,3.0,2.1864
5,4,233.189,244.200,5085.0,6140.0630
5,5,156.498,158.600,109.0,88.9677
5,6,155.600,155.800,4.0,3.0620
6,1,155.347,165.100,50.0,40.0697
6,2,156.942,161.600,115.0,93.8496
6,3,146.500,146.800,2.0,2.1926
6,4,233.321,244.400,5083.0,6141.0234
6,5,156.664,160.800,110.0,89.8545
6,6,156.000,156.400,4.0,3.0668
6,1,155.347,165.100,50.0,40.0697
6,2,156.942,161.600,115.0,93.8496
6,3,146.500,146.800,2.0,2.1926
6,4,233.321,244.400,5083.0,6141.0234
6,5,156.664,160.800,110.0,89.8545
6,6,156.000,156.400,4.0,3.0668
7,1,155.567,164.200,49.0,39.3601
7,2,156.990,164.500,118.0,96.1561
7,3,146.250,146.500,2.0,1.4723
7,4,233.249,244.400,5085.0,6142.6250
7,5,156.528,158.600,110.0,89.2403
7,6,156.225,156.800,3.0,3.0764
8,1,155.579,165.100,48.0,39.4958
8,2,157.122,164.000,116.0,94.1496
8,3,150.300,157.700,2.0,2.2567
8,4,233.327,244.600,5086.0,6144.2295
8,5,156.594,159.200,109.0,89.2242
8,6,155.825,156.200,4.0,3.0724
9,1,155.356,164.900,48.0,39.3918
9,2,157.004,160.000,113.0,91.7597
9,3,146.433,146.800,2.0,2.2175
9,4,233.375,244.400,5084.0,6143.6128
9,5,156.610,158.500,110.0,90.0101
9,6,156.225,156.700,4.0,3.1019
10,1,155.685,164.700,49.0,40.3290
10,2,157.135,161.900,113.0,91.8692
10,3,146.467,146.600,3.0,2.1966
10,4,233.403,244.400,5084.0,6145.4756
10,5,156.776,158.700,110.0,89.3385
