cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
10,1,153.027,163.300,48.0,38.7495
10,2,154.410,160.800,124.0,99.8299
10,3,147.500,147.500,2.0,1.4830
10,4,229.950,245.100,884.0,1052.8962
10,5,153.416,163.900,110.0,88.0499
10,6,151.175,151.500,3.0,2.9747
11,1,153.058,163.700,49.0,39.5065
11,2,154.666,161.400,124.0,100.0852
11,3,146.667,147.100,3.0,2.1992
11,4,229.824,243.700,883.0,1051.4574
11,5,153.619,159.000,110.0,88.2121
11,6,154.900,155.200,4.0,3.0461
12,1,153.519,160.700,49.0,39.0194
12,2,154.692,164.200,124.0,100.3026
12,3,142.867,143.100,3.0,2.1423
12,4,229.979,241.900,883.0,1052.1508
12,5,153.842,161.000,110.0,88.5717
12,6,155.225,155.700,4.0,3.0635
13,1,154.500,154.500,3.0,2.3544
13,2,154.755,164.600,107.0,86.7695
13,3,145.750,147.600,2.0,1.4662
13,4,229.860,245.800,883.0,1052.5043
13,5,153.767,159.300,110.0,87.6934
13,6,155.125,155.600,4.0,3.1159
14,1,154.850,155.300,2.0,1.5891
14,2,155.766,165.100,108.0,88.0896
14,3,146.500,146.700,2.0,1.4774
14,4,231.217,244.400,883.0,1057.7455
14,5,154.992,161.600,110.0,89.1398
14,6,155.200,155.800,4.0,3.0933
15,1,154.634,163.900,49.0,40.0727
15,2,155.907,164.000,126.0,101.8115
15,3,147.867,150.500,3.0,2.2201
15,4,231.279,245.700,882.0,1058.1996
15,5,155.053,159.400,111.0,89.2250
15,6,155.075,155.800,4.0,3.0590
16,1,154.696,163.100,49.0,39.2523
16,2,155.972,163.400,125.0,101.9279
16,3,147.000,147.400,3.0,2.2035
16,4,231.354,244.600,883.0,1058.8524
16,5,155.226,164.500,110.0,89.3094
16,6,155.000,155.100,4.0,3.0568
17,1,154.419,163.700,50.0,39.9933
17,2,155.993,163.900,126.0,102.5926
17,3,147.000,147.200,3.0,2.2044
17,4,231.282,244.900,883.0,1058.0378
17,5,155.137,162.200,109.0,88.4835
17,6,154.850,155.300,4.0,3.0961
18,1,154.588,163.800,49.0,39.3278
18,2,155.963,163.400,125.0,101.8801
18,3,147.233,147.300,3.0,2.2106
18,4,231.341,245.400,883.0,1058.8759
18,5,155.183,164.500,110.0,88.5493
18,6,155.550,155.800,4.0,3.0706
19,1,154.810,163.400,49.0,39.3007
19,2,155.879,166.000,126.0,101.9074
19,3,146.850,146.900,2.0,1.4812
19,4,231.285,245.100,882.0,1058.5002
19,5,155.110,159.500,110.0,88.5338
19,6,155.100,155.600,5.0,3.8349
20,1,154.650,163.200,49.0,39.3018
20,2,156.009,165.000,125.0,101.8973
20,3,147.167,147.300,3.0,2.2049
20,4,231.268,244.500,883.0,1058.5742
20,5,155.082,160.100,110.0,88.4924
20,6,154.750,155.000,4.0,3.0725
21,1,154.442,163.900,49.0,39.1812
21,2,155.977,164.000,124.0,100.4578
21,3,147.233,147.400,2.0,2.2093
21,4,231.216,245.400,883.0,1058.2817
21,5,154.960,159.500,110.0,88.5364
21,6,155.200,155.500,4.0,3.0595
22,1,154.575,164.100,50.0,40.0965
22,2,155.922,160.500,123.0,99.6079
22,3,147.050,147.100,2.0,1.4729
22,4,231.302,245.000,883.0,1058.7653
22,5,155.223,163.800,110.0,89.3711
22,6,155.200,155.500,4.0,3.0621
23,1,154.450,163.600,49.0,39.2462
23,2,155.972,164.100,122.0,98.9365
23,3,146.867,147.200,3.0,2.2027
23,4,231.194,246.000,883.0,1058.3875
23,5,154.936,159.600,109.0,88.4688
23,6,155.125,155.800,4.0,3.0616
24,1,154.548,163.500,49.0,39.2177
24,2,155.788,163.800,122.0,99.5413
24,3,146.700,146.700,2.0,1.4845
24,4,231.210,245.900,883.0,1058.4325
24,5,155.125,163.500,110.0,88.5963
24,6,154.575,154.800,4.0,3.0508
25,1,154.440,163.300,49.0,39.9541
25,2,155.811,164.100,123.0,99.5432
25,3,148.450,149.900,2.0,1.4976
25,4,231.349,244.600,883.0,1059.1704
25,5,155.189,163.400,110.0,89.3277
25,6,154.700,155.000,4.0,3.0903
26,1,154.350,163.500,49.0,39.2350
26,2,155.968,163.000,122.0,99.6555
26,3,146.733,147.100,3.0,2.2025
26,4,231.144,245.200,882.0,1057.2034
26,5,155.062,164.100,110.0,88.5806
26,6,154.975,155.600,4.0,3.0604
27,1,154.536,163.400,50.0,40.0472
27,2,155.975,164.000,122.0,98.8939
27,3,147.150,147.300,2.0,1.4809
27,4,231.125,244.700,883.0,1058.2126
27,5,155.150,163.900,109.0,88.5590
27,6,155.050,155.700,4.0,3.0609
28,1,154.510,163.900,49.0,39.3069
28,2,155.972,163.300,121.0,98.8783
28,3,147.067,147.600,3.0,2.2106
28,4,231.167,245.400,883.0,1058.2994
28,5,155.103,160.700,110.0,88.5261
28,6,154.775,155.300,4.0,3.0594
29,1,154.653,164.000,50.0,40.0732
29,2,155.853,163.100,122.0,99.5960
29,3,147.800,149.200,3.0,2.2153
29,4,231.112,244.600,883.0,1058.3589
29,5,155.031,159.600,110.0,88.5325
29,6,154.660,155.400,5.0,3.8229
30,1,154.670,163.400,49.0,40.0813
30,2,155.922,163.900,121.0,98.1220
30,3,149.500,151.600,2.0,1.5095
30,4,231.367,245.100,882.0,1058.3711
30,5,155.079,161.400,110.0,88.5242
30,6,155.200,155.800,5.0,3.8309
31,1,154.335,162.800,48.0,39.2525
31,2,156.027,163.800,124.0,100.4194
31,3,150.700,157.700,3.0,2.2860
31,4,231.291,245.000,883.0,1059.0005
31,5,155.112,162.400,110.0,88.5472
31,6,155.150,155.700,3.0,3.0627
32,1,154.594,163.100,48.0,39.2616
32,2,155.966,160.400,122.0,99.0374
32,3,147.133,147.600,3.0,2.2139
32,4,231.190,244.600,882.0,1057.5070
32,5,155.109,163.300,110.0,88.6261
32,6,154.775,154.900,4.0,3.0530
33,1,154.549,164.100,50.0,40.0615
33,2,156.004,161.400,123.0,100.4877
33,3,146.867,147.100,3.0,2.2113
33,4,231.392,244.800,881.0,1057.2773
33,5,155.127,162.800,111.0,89.3841
33,6,155.275,155.300,4.0,3.0612
34,1,154.310,163.300,49.0,39.1668
34,2,155.953,164.100,125.0,101.9993
34,3,147.433,147.700,3.0,2.2119
34,4,231.204,245.300,882.0,1057.5554
34,5,155.206,163.400,110.0,88.6757
34,6,155.225,155.800,4.0,3.0620
35,1,154.711,163.400,49.0,40.0726
35,2,155.916,165.100,124.0,100.4519
35,3,147.200,147.400,2.0,1.4828
35,4,231.206,244.800,882.0,1057.5826
35,5,155.104,162.400,111.0,89.3950
35,6,155.225,156.000,4.0,3.0640
36,1,154.762,163.200,49.0,40.0895
36,2,155.944,161.600,123.0,99.7160
36,3,147.167,147.200,3.0,2.2091
36,4,231.199,244.800,882.0,1057.7549
36,5,155.109,164.100,110.0,88.5963
36,6,154.950,155.500,4.0,3.0612
37,1,154.836,163.800,49.0,40.0825
37,2,155.964,161.100,123.0,99.7556
37,3,147.033,147.100,3.0,2.2139
37,4,231.214,244.800,882.0,1057.8993
37,5,155.117,163.400,110.0,88.5885
37,6,154.750,155.100,4.0,3.1452
38,1,155.073,163.900,48.0,39.3770
38,2,155.950,161.400,125.0,101.2356
38,3,146.867,147.100,3.0,2.2190
38,4,231.165,245.100,883.0,1058.8666
38,5,155.201,159.300,110.0,88.6398
38,6,155.200,155.800,4.0,3.0626
