cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
1,1,13.167,13.300,2.0,0.1360
1,2,127.364,180.500,1848.0,1226.3966
1,3,13.367,13.600,2.0,0.1387
1,4,90.963,96.400,2249.0,1069.4454
1,5,14.538,15.400,110.0,8.3875
1,6,13.075,13.300,2.0,0.1380
2,1,13.400,13.600,2.0,0.1413
2,2,127.997,176.500,1848.0,1232.6011
2,3,13.633,13.800,2.0,0.1440
2,4,91.265,96.600,2357.0,1124.9665
2,5,14.522,15.400,109.0,8.3133
2,6,13.325,13.500,2.0,0.1380
3,1,13.500,13.600,2.0,0.1387
3,2,127.859,176.200,1849.0,1231.0814
3,3,13.500,13.700,2.0,0.1413
3,4,91.041,96.500,2346.0,1116.8907
3,5,14.523,15.400,109.0,8.3167
3,6,13.025,13.600,3.0,0.2085
4,1,13.500,14.000,2.0,0.1413
4,2,127.836,176.300,1849.0,1231.4265
4,3,13.350,13.600,1.0,0.0700
4,4,90.833,96.200,2346.0,1113.3040
4,5,14.486,15.300,110.0,8.3618
4,6,13.600,13.900,3.0,0.2130
5,1,13.400,13.900,2.0,0.1387
5,2,128.318,180.000,1848.0,1234.0165
5,3,13.567,13.800,2.0,0.1413
5,4,91.304,96.400,2403.0,1147.0332
5,5,14.500,15.400,109.0,8.2967
5,6,13.300,13.600,3.0,0.2130
6,1,13.267,13.400,2.0,0.1360
6,2,127.901,176.200,1848.0,1231.2384
6,3,13.667,13.700,2.0,0.1440
6,4,91.046,96.900,2332.0,1110.0246
6,5,14.501,15.200,110.0,8.3637
6,6,13.225,13.800,2.0,0.1370
7,1,13.633,14.100,2.0,0.1440
7,2,127.714,175.700,1849.0,1229.8491
7,3,12.967,13.500,2.0,0.1400
7,4,91.055,96.400,2327.0,1107.7355
7,5,14.514,15.500,109.0,8.3131
7,6,12.725,13.100,3.0,0.2025
8,1,13.400,13.800,2.0,0.1387
8,2,127.944,183.600,1848.0,1230.9901
8,3,13.167,13.400,2.0,0.1387
8,4,91.104,96.400,2331.0,1110.7544
8,5,14.441,15.400,109.0,8.2549
8,6,13.000,13.400,3.0,0.2040
9,1,13.667,14.000,2.0,0.1440
9,2,127.855,181.500,1847.0,1230.9546
9,3,13.033,13.100,2.0,0.5800
9,4,90.868,96.400,2347.0,1114.7962
9,5,14.547,15.200,108.0,8.2153
9,6,13.275,13.400,3.0,0.2100
10,1,13.267,13.600,2.0,0.1413
10,2,127.884,176.200,1847.0,1230.0889
10,3,13.500,13.700,2.0,0.1413
10,4,90.807,95.900,2294.0,1089.5229
10,5,14.545,15.400,110.0,8.3820
10,6,13.400,14.000,3.0,0.2070
11,1,13.467,13.600,2.0,0.1387
11,2,127.139,183.700,1846.0,1222.5189
11,3,13.567,13.700,2.0,0.1387
11,4,90.968,96.800,2100.0,998.5996
11,5,14.482,15.300,108.0,8.2334
11,6,13.140,13.700,4.0,0.2736
12,1,13.367,13.600,2.0,0.1387
12,2,127.483,182.200,1847.0,1226.3445
12,3,13.267,13.300,2.0,0.1360
12,4,90.804,95.800,2320.0,1101.1444
12,5,14.515,15.400,109.0,8.2985
12,6,13.200,13.400,3.0,0.2040
13,1,13.467,13.600,2.0,0.1440
13,2,127.703,183.400,1848.0,1229.0554
13,3,13.300,13.800,1.0,0.0700
13,4,90.753,96.200,2307.0,1094.3517
13,5,14.486,15.300,108.0,8.2243
13,6,13.300,13.700,3.0,0.2100
14,1,13.433,13.500,2.0,0.1413
14,2,127.739,176.700,1848.0,1229.5485
14,3,13.200,13.700,1.0,0.0690
14,4,90.784,96.200,2295.0,1090.3060
14,5,14.410,15.200,109.0,8.2422
14,6,12.900,13.500,3.0,0.2055
15,1,12.900,12.900,1.0,0.0680
