cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
1,1,13.400,13.400,2.0,0.1413
1,2,128.384,176.500,1859.0,1244.2682
1,3,13.400,13.400,1.0,0.1210
1,4,91.414,96.700,4920.0,2353.2756
1,5,14.480,15.300,109.0,8.3005
1,6,13.325,13.700,3.0,0.2130
2,1,13.133,13.600,2.0,0.1413
2,2,128.221,176.100,1859.0,1242.9184
2,3,13.400,13.600,2.0,0.1413
2,4,91.171,96.000,4888.0,2330.5556
2,5,14.443,15.300,109.0,8.2712
2,6,13.225,13.400,3.0,0.2070
3,1,13.133,13.300,2.0,0.1360
3,2,128.346,184.100,1859.0,1243.4819
3,3,13.400,13.600,3.0,0.2130
3,4,91.164,96.300,4974.0,2370.4360
3,5,14.443,15.200,109.0,8.2730
3,6,13.275,13.500,3.0,0.2130
4,1,13.467,13.600,2.0,0.1413
4,2,128.132,175.700,1860.0,1241.9106
4,3,13.300,13.400,1.0,0.0693
4,4,90.998,97.200,4838.0,2300.8075
4,5,14.497,15.300,109.0,8.2858
4,6,13.400,13.700,2.0,0.1410
5,1,13.067,13.300,1.0,0.0680
5,2,127.849,180.900,1857.0,1237.2961
5,3,13.700,14.000,1.0,0.0720
5,4,91.074,96.600,4250.0,2023.6275
5,5,14.441,15.300,109.0,8.2932
5,6,13.275,13.500,3.0,0.2100
6,1,13.400,13.600,2.0,0.1387
6,2,103.406,176.700,727.0,392.1289
7,1,13.400,13.600,2.0,0.1387
7,2,119.567,176.700,1317.0,821.2117
7,4,90.858,200.000,5372.0,2550.7969
7,5,14.500,15.400,109.0,8.3023
7,6,13.325,13.700,3.0,0.2115
8,1,13.433,13.500,2.0,0.1413
8,2,127.807,180.400,1856.0,1236.8433
8,3,13.667,14.000,2.0,0.1440
8,4,91.067,96.400,4283.0,2039.3095
8,5,14.468,15.200,109.0,8.2785
8,6,13.225,13.700,3.0,0.2085
9,1,13.567,13.800,2.0,0.1413
9,2,127.853,183.200,1857.0,1237.8039
9,3,13.467,14.200,1.0,0.0707
9,4,91.108,96.400,4309.0,2052.3673
9,5,14.461,15.300,109.0,8.2968
9,6,13.480,13.700,3.0,0.2136
10,1,13.133,13.400,2.0,0.1373
10,2,128.186,179.600,1858.0,1241.5296
10,3,13.333,13.600,2.0,0.4587
10,4,91.032,97.700,4940.0,2351.7305
10,5,14.465,15.300,109.0,8.2638
10,6,13.400,13.600,3.0,0.2070
11,1,13.267,13.500,2.0,0.1440
11,2,128.572,176.700,1859.0,1245.6273
11,3,13.300,13.300,1.0,0.0680
11,4,90.982,95.900,4875.0,2319.2594
11,5,14.505,15.400,109.0,8.2877
11,6,13.400,13.800,3.0,0.2130
12,1,13.500,13.800,2.0,0.1413
12,2,128.122,176.300,1858.0,1241.0166
12,3,13.667,13.700,2.0,0.1707
12,4,91.259,96.700,4662.0,2225.6533
12,5,14.435,15.400,109.0,8.2803
12,6,13.300,13.700,3.0,0.2115
13,1,13.233,13.300,2.0,0.1360
13,2,128.267,175.600,1860.0,1243.7650
13,3,13.050,13.100,1.0,0.0680
13,4,91.120,97.300,4967.0,2366.3913
13,5,14.463,15.300,109.0,8.2987
13,6,13.475,13.900,3.0,0.2115
14,1,13.400,13.600,1.0,0.0707
14,2,128.805,183.300,1859.0,1247.3038
14,3,13.200,13.500,2.0,0.1387
14,4,90.972,97.300,4842.0,2304.0060
14,5,14.479,15.300,109.0,8.2950
14,6,13.675,13.700,3.0,0.2160
15,1,13.700,13.700,1.0,0.0720
