cycle,phase,avg_mA,peak_mA,dur_ms,energy_mJ
1,1,41.000,41.000,1.0,0.2160
1,2,115.956,153.800,1917.0,1159.0496
1,3,40.900,40.900,1.0,0.2160
1,4,51.489,70.400,824.0,222.5707
1,5,94.537,329.700,323.0,158.8213
1,6,41.200,41.200,1.0,0.2160
2,1,40.700,40.700,1.0,0.2160
2,2,115.969,154.900,1917.0,1158.6034
2,3,41.300,41.300,1.0,0.2160
2,4,51.465,70.800,825.0,222.7871
2,5,73.057,335.200,343.0,131.7194
2,6,40.600,40.600,1.0,0.2120
3,1,41.000,41.000,1.0,0.2120
3,2,115.995,153.100,1916.0,1158.4287
3,3,41.600,41.600,1.0,0.2200
3,4,51.457,70.600,825.0,222.8779
3,5,71.793,331.800,324.0,123.9444
3,6,41.700,41.700,1.0,0.2200
4,1,41.100,41.100,1.0,0.2160
4,2,115.805,153.000,1918.0,1158.5131
4,3,41.600,41.600,1.0,0.2200
4,4,51.437,70.500,824.0,222.5004
4,5,89.370,311.000,322.0,151.7971
4,6,40.900,40.900,1.0,0.2160
5,1,41.900,41.900,1.0,0.2200
5,2,115.795,157.400,1918.0,1157.6839
5,3,42.000,42.000,1.0,0.2200
5,4,51.425,70.600,824.0,222.5041
5,5,88.056,345.300,344.0,157.3084
5,6,41.600,41.600,1.0,0.2200
6,1,49.200,49.200,1.0,0.2120
6,2,115.945,153.700,1918.0,1159.4282
6,3,41.600,41.600,1.0,0.2200
6,4,51.511,70.600,824.0,222.6691
6,5,78.250,330.500,324.0,129.4682
6,6,40.900,40.900,1.0,0.2120
7,1,41.100,41.100,1.0,0.2220
7,2,116.140,152.700,1924.0,1164.8350
7,3,44.000,46.300,1.0,0.2310
7,4,51.528,70.600,825.0,223.1843
7,5,72.972,332.600,321.0,121.7968
7,6,40.600,41.300,1.0,0.2160
8,1,40.900,40.900,1.0,0.2160
8,2,116.068,157.100,1917.0,1159.7523
8,3,41.700,41.700,1.0,0.2200
8,4,51.558,70.700,824.0,222.7544
8,5,82.812,332.100,354.0,152.1550
8,6,41.100,41.100,1.0,0.2160
9,1,40.800,40.800,1.0,0.2160
9,2,115.845,152.200,1917.0,1157.6906
9,3,41.300,41.300,1.0,0.2200
9,4,51.441,70.600,825.0,222.9542
9,5,50.480,346.100,823.0,217.2331
9,6,41.000,41.000,1.0,0.2160
10,1,40.700,40.700,1.0,0.2120
10,2,115.832,156.100,1918.0,1158.8420
10,3,41.400,41.400,1.0,0.2160
10,4,51.478,70.500,824.0,222.6765
10,5,78.470,332.100,344.0,143.9612
10,6,40.800,40.800,1.0,0.2160
11,1,40.800,40.800,1.0,0.2120
11,2,116.050,153.400,1917.0,1159.4460
11,3,41.100,41.100,1.0,0.2160
11,4,51.445,70.400,825.0,222.7333
11,5,81.391,332.000,333.0,141.4053
11,6,41.100,41.100,1.0,0.2160
12,1,41.800,41.800,1.0,0.2200
12,2,115.753,158.400,1910.0,1152.3548
12,3,41.500,41.500,1.0,0.2160
12,4,51.484,70.400,825.0,222.9449
12,5,76.262,346.700,1323.0,527.2707
12,6,41.300,41.300,1.0,0.2160
13,1,40.900,40.900,1.0,0.2160
13,2,115.776,152.100,1910.0,1152.6238
13,3,41.800,41.800,1.0,0.2200
13,4,51.462,70.600,825.0,222.9504
13,5,71.113,333.500,323.0,122.0662
13,6,41.550,41.600,1.0,0.2200
14,1,40.800,40.800,1.0,0.2360
14,2,115.651,153.500,1910.0,1151.5983
14,3,41.900,41.900,1.0,0.4060
14,4,51.477,70.700,825.0,222.8280
14,5,74.996,309.200,342.0,132.4736
14,6,41.000,41.000,1.0,0.2160
15,1,40.400,40.400,1.0,0.2120
